Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
feito,,12,13,25,13,13,26,10,0.270471,0.29057,92158.452788,0.011767,0.018811,0.000554,0,1,28,0.041667
esclarecida,,1,1,2,1,1,2,12,0.224819,0.235211,1306.083018,0.000027,0.002283,0.000064,0,1,37,0
há,,40,26,66,45,45,90,11,0.289956,0.313542,318352.559718,0.064113,0.03296,0.00172,0,1,52,0.05226
repetir,,8,10,18,10,10,20,11,0.223808,0.235806,33830.477702,0.007524,0.001332,0.000396,0,1,76,0.009804
coisa,,17,16,33,17,17,34,11,0.257679,0.275524,88152.61492,0.014387,0.0074,0.000835,0,1,27,0.011089
protelação,,1,1,2,1,1,2,12,0.204868,0.213182,172.038294,0.000718,0.000141,0.000064,0,1,8,0
voltar,,8,10,18,12,12,24,11,0.257615,0.274768,38697.251701,0.003961,0.008495,0.000436,0,1,8,0.04902
falar,,30,33,63,33,33,66,10,0.292281,0.318068,228140.968005,0.033435,0.047191,0.001342,0,1,72,0.036236
assunto,,2,2,4,2,2,4,12,0.198695,0.206429,12966.265902,0.001683,0.000001,0.000126,0,1,77,0
esclarecer,,2,2,4,2,2,4,11,0.246829,0.2618,22590.893822,0.000032,0.002924,0.000172,0,1,77,0
divulgamos,,1,1,2,1,1,2,13,0.167486,0.172215,5087.460412,0.000104,0,0.000102,0,1,77,0
escrito,,2,2,4,2,2,4,12,0.201135,0.209329,15541.923029,0,0.000221,0.000201,0,1,77,0
procedimento,,4,4,8,4,4,8,11,0.234665,0.247996,32599.283155,0.00036,0.003905,0.000282,0,1,24,0.053571
tiver,,4,4,8,4,4,8,11,0.236736,0.250337,21008.15276,0.000284,0.003079,0.00026,0,1,24,0.035714
cuidado,,1,1,2,1,1,2,14,0.143467,0.146514,5278.462618,0.00011,0,0.000084,0,1,77,0
ler,,1,1,2,1,1,2,13,0.167476,0.172204,5278.462618,0,0,0.000101,0,1,77,0
tinha,,6,6,12,6,6,12,11,0.240856,0.254842,25636.363497,0.005853,0.00242,0.000337,0,1,57,0.007576
menção,,2,2,4,2,2,4,11,0.231092,0.243336,600.260416,0.002835,0.002795,0.000121,0,1,57,0.083333
esendo,,1,1,2,1,1,2,13,0.180865,0.186619,5175,0.000764,0,0.000075,0,1,4,0.5
aunda,,1,1,2,1,1,2,12,0.220781,0.231287,5175,0,0.000606,0.000093,0,1,4,0.5
indagado,,1,1,2,1,1,2,11,0.233038,0.245,0,0.000764,0.00072,0.000075,0,1,4,0.5
ausente,,4,4,8,4,4,8,11,0.234931,0.247787,11317.241063,0.007802,0.008523,0.000194,0,1,3,0.160714
ausência,,11,9,20,11,11,22,10,0.262794,0.280116,66512.401825,0.004046,0.010671,0.000607,0,1,22,0.02924
conceda,,1,1,2,1,1,2,11,0.214567,0.22448,129.605593,0.00038,0.001201,0.000086,0,1,22,0
ar,,3,3,6,3,3,6,11,0.230742,0.243587,5421.795489,0.017737,0.006995,0.000137,0,1,42,0.366667
acompanha,,9,5,14,9,9,18,11,0.245518,0.261091,19964.610918,0.014454,0.008096,0.000366,0,1,0,0.076923
rádio,,2,2,4,3,3,6,12,0.202662,0.211096,10451.842609,0.000339,0.00023,0.000118,0,1,0,0
TV,,1,1,2,1,1,2,13,0.168501,0.173284,5175,0.000008,0,0.000079,0,1,0,0
cmara,,1,1,2,1,1,2,12,0.202599,0.210877,5175,0,0.00023,0.000096,0,1,0,0
câmara,,8,6,14,9,9,18,11,0.253999,0.270895,31059.692849,0.006452,0.011026,0.000444,0,1,0,0.016484
vota,,47,36,83,61,61,122,10,0.296076,0.325036,276742.832201,0.102266,0.06801,0.002022,0,1,7,0.066667
jovir,,1,1,2,1,1,2,13,0.172103,0.177171,5176.269425,0.003579,0,0.000056,0,1,68,0
anantes,,1,1,2,1,1,2,12,0.207846,0.216721,5176.269425,0,0.000229,0.000076,0,1,68,0
pede,,4,4,8,5,5,10,11,0.262328,0.280729,16455.225331,0.006431,0.016256,0.000288,0,1,42,0.160714
impeachment,,28,42,70,54,54,108,10,0.301035,0.329017,275026.58157,0.041468,0.073077,0.0014,0,1,31,0.054873
momento,,95,87,182,114,114,228,10,0.311451,0.344966,966963.209686,0.123241,0.083307,0.004299,0,1,11,0.027985
